ContactId,FirstName,LastName,Email,Phone,AccountName,Industry,AnnualRevenue,NumberOfEmployees,LeadSource,CreatedDate,LastActivityDate,TotalSpend,SupportCasesOpened,MarketingEngagementScore,CustomerStatus
003eYAop242ExKD6aD,Joseph,Morris,joseph.morris@bradleyltd.com,001-644-225-0480,Bradley Ltd,Manufacturing,8549781,5095,Other,2023-02-23 10:09:22,2023-10-07 10:09:22,128336.71,30,56,Churned
003KXxnocNU07UNTzz,Cathy,Mccarthy,cathy.mccarthy@walker.com,4275435468,"Walker, Garcia and Lowe",Healthcare,7035242,105,Other,2021-01-01 11:28:34,2021-07-15 11:28:34,21275.67,49,0,Churned
003L1qzN0mwnfcQoL9,Dwayne,Reed,dwayne.reed@maxwellllc.com,001-283-964-7034x0102,Maxwell LLC,Manufacturing,28730696,8275,Partner Referral,2024-12-08 22:34:36,2025-02-10 22:18:43,438666.37,28,32,Active
003x5R2qkPYw9Mda6l,Brenda,Powers,brenda.powers@hammond.com,(562)288-6203x8521,"Hammond, Wood and Jones",Finance,76750872,1327,Purchased List,2024-10-28 12:11:14,2025-10-05 00:39:27,5330215.09,42,78,Active
0036YrKha5NRzmQGg7,Brandon,Thompson,brandon.thompson@mcneil-chavez.com,551-642-0559x177,Mcneil-Chavez,Consulting,19817899,421,Web,2025-04-19 13:32:58,2025-06-14 18:37:53,1344887.8,27,17,Active
0030wAuQVzzrDTXw5S,Alan,Velazquez,alan.velazquez@murphyandsons.com,733-906-4235x43921,Murphy and Sons,Finance,18999077,8439,Other,2024-06-23 18:13:37,2025-01-18 00:23:41,809995.0,11,86,Prospect
0033UWl1QHKsd70wrf,Kenneth,Davis,kenneth.davis@nelson.com,838-298-8879x0501,"Nelson, Kim and Vasquez",Technology,79354862,3159,Purchased List,2022-07-16 14:06:20,2022-08-06 12:30:07,7290668.11,10,21,Active
003erjDXvPGGF62Npr,Luke,Krueger,luke.krueger@hill-merritt.com,989-538-2485x54200,Hill-Merritt,Retail,11969052,54,Partner Referral,2023-03-16 18:56:07,2023-11-11 18:56:07,127047.07,35,68,Churned
003KfIXQc6Zm2lL1Ef,Mary,Curtis,mary.curtis@smith.com,001-644-702-5637x1566,"Smith, Edwards and Brown",Manufacturing,9988808,6277,Phone Inquiry,2022-07-29 00:36:03,2023-08-01 03:01:46,569613.22,12,5,Active
003Xj7sbeM5b0L5X3p,Shannon,Thomas,shannon.thomas@nguyen-lucero.com,+1-657-229-4998x132,Nguyen-Lucero,Technology,64164316,1122,Partner Referral,2020-10-27 12:11:04,2023-07-18 07:28:24,845596.64,14,21,Active
003KIPFs2DQVCbDsEK,Steven,Durham,steven.durham@pittman.com,001-444-246-6124x941,"Pittman, Porter and Jones",Consulting,7342750,188,Web,2025-02-14 21:11:47,2025-09-25 12:48:17,620658.83,8,33,Prospect
003uDHipF876jLusR5,Emily,Bowman,emily.bowman@porter-leonard.com,3825266963,Porter-Leonard,Technology,97518849,1015,Partner Referral,2024-08-16 14:10:09,2024-11-30 12:19:23,1855017.18,39,55,Active
0033qkunyW76TSq5QO,Scott,Barrett,scott.barrett@martinezllc.com,+1-895-563-6324x7607,Martinez LLC,Healthcare,12455243,298,Purchased List,2020-12-23 21:18:39,2021-05-13 21:18:39,162253.86,36,59,Churned
003aOqqncZugfsHiHR,Tiffany,Snyder,tiffany.snyder@jones.com,+1-492-763-0828,"Jones, Esparza and Levy",Technology,36897202,967,Partner Referral,2023-10-06 20:11:45,2025-07-28 10:52:56,1189746.35,43,84,Active
003z1LMqiekqOmpP5z,Felicia,Bennett,felicia.bennett@jones.com,(789)787-9657,"Jones, Gibson and Brown",Retail,2420423,39,Partner Referral,2022-08-17 08:42:51,2024-11-19 11:16:39,139504.89,4,54,Prospect
0037ylUtTktsR0J47l,Carl,Russo,carl.russo@fernandez.com,356-745-2398x218,"Fernandez, Campbell and Cooper",Healthcare,2323182,99,Partner Referral,2023-03-11 09:53:57,2023-11-06 09:53:57,37663.36,26,90,Churned
003WYxy45azBWVMhgn,Randy,Collins,randy.collins@booker.com,268-688-3447,"Booker, Collins and Singleton",Healthcare,1353699,112,Partner Referral,2023-01-16 14:23:34,2024-02-15 02:45:57,80967.27,22,76,Active
003qetjtcvmQfFq94e,Miguel,Miller,miguel.miller@edwards.com,(262)805-4483,"Edwards, Villanueva and Alexander",Finance,71408500,1285,Web,2021-01-26 14:53:54,2024-06-04 06:26:16,4229877.98,16,41,Active
003FOcXhoipzinW2s8,Steven,Bryant,steven.bryant@hernandez.com,6034509034,"Hernandez, Dalton and Reed",Retail,11519319,443,Partner Referral,2025-09-15 22:24:26,2025-09-19 04:07:06,867797.63,15,76,Prospect
003vxZGf2PGV9Sd7kf,Lisa,Mendoza,lisa.mendoza@walshgroup.com,(661)887-6897x4381,Walsh Group,Technology,54858627,7107,Web,2023-11-17 22:59:33,2025-01-24 15:33:54,3215329.05,22,33,Prospect
003IjKOugFHHH1fzRY,Jeremy,Martin,jeremy.martin@browninc.com,807.345.6889x6637,Brown Inc,Manufacturing,62792789,1110,Purchased List,2025-08-04 23:34:40,2025-08-21 14:20:01,3301716.29,13,99,Prospect
003hBXGqxAUKsTaW6v,Carlos,Nguyen,carlos.nguyen@woods.com,716.494.5944,"Woods, Flores and Knox",Retail,9556390,234,Web,2023-06-07 23:56:18,2025-09-28 05:21:48,580751.42,45,25,Active
003VGeZlaRHod2erPe,Kerry,Cardenas,kerry.cardenas@hill.com,323-978-7380,"Hill, Newton and Davenport",Finance,25782195,990,Purchased List,2022-02-05 00:34:50,2024-07-16 21:18:29,1754207.75,11,77,Active
00303OlCROePwq4Jsj,Darlene,Torres,darlene.torres@huffman-powers.com,7096217244,Huffman-Powers,Consulting,8514707,341,Other,2025-08-29 05:04:03,2025-09-05 22:23:38,810884.64,13,57,Prospect
003P8POB8H3LRfgDka,Robert,Miller,robert.miller@bowen.com,(690)988-5941x72505,"Bowen, Lopez and Taylor",Manufacturing,39659342,745,Purchased List,2025-02-19 10:11:49,2025-02-24 15:29:26,1685274.28,27,89,Active
003On1oNBukhLEmMKM,Lisa,Wallace,lisa.wallace@cain-taylor.com,596.942.3612x679,Cain-Taylor,Finance,48364591,5814,Partner Referral,2025-06-08 01:26:26,2025-10-12 17:17:43,2884531.44,15,3,Active
003Qg0D9I3R77qwaO9,Rebecca,Mercado,rebecca.mercado@chandler-fry.com,(500)994-0285,Chandler-Fry,Technology,77772282,3860,Purchased List,2022-07-23 04:10:51,2024-02-24 06:16:42,5270258.08,0,34,Active
003Tkpbi520BDtMBLV,Carl,Fleming,carl.fleming@nelson.com,(611)660-2341x5717,"Nelson, Crawford and Nguyen",Retail,16255775,396,Purchased List,2025-03-26 14:31:25,2025-09-24 01:26:15,498176.74,46,18,Active
003FJ9bZ8zG3jzO4tr,Kimberly,Sims,kimberly.sims@morris-garrett.com,(578)856-5402x863,Morris-Garrett,Technology,60974078,7632,Phone Inquiry,2021-03-08 18:47:15,2021-06-14 18:47:15,346420.09,40,13,Churned
003AnTXTgeKXAHaxsA,Laura,Chase,laura.chase@roberts.com,001-438-915-8152,"Roberts, Hubbard and Hull",Retail,7877312,410,Other,2022-03-01 08:10:47,2022-12-05 08:10:47,102658.59,28,77,Churned
0031hBWStq1KhxnqCP,Tiffany,Leonard,tiffany.leonard@solis.com,9832156452,"Solis, Alvarado and Beck",Manufacturing,88550174,305,Purchased List,2022-01-16 23:33:04,2024-02-26 06:11:28,6328985.12,24,82,Active
003lAmxpgLePGHiOwo,Diana,Clements,diana.clements@snyder.com,908.511.8285x6875,"Snyder, Ramirez and Floyd",Healthcare,16268830,394,Purchased List,2022-03-29 18:44:14,2025-08-23 04:09:13,602246.89,19,7,Active
003OchDZI8I931R6OV,Derrick,Fernandez,derrick.fernandez@jamesplc.com,688-800-0086,James PLC,Finance,53874337,3358,Purchased List,2024-04-11 12:20:17,2024-07-08 07:03:22,3526570.98,14,75,Active
003QQRqv0P6zAyzY2i,Julia,Woods,julia.woods@cunninghamgroup.com,535.623.8826x2694,Cunningham Group,Technology,63988434,456,Web,2022-01-29 04:36:34,2025-04-09 08:26:34,5922176.85,37,88,Active
003bCnPW45ZzR7qFF5,Kyle,Mcdonald,kyle.mcdonald@moyerplc.com,4285516919,Moyer PLC,Technology,5498459,4085,Other,2025-03-07 02:29:07,2025-05-13 16:31:06,526320.39,19,57,Prospect
003g1e4nY79d0oMbjy,Jessica,Wagner,jessica.wagner@sanchezandsons.com,6426895682,Sanchez and Sons,Manufacturing,44517627,9166,Partner Referral,2021-09-03 03:17:03,2022-05-29 03:17:03,755499.95,44,59,Churned
003owmHW22JIHp45gw,Karen,Robinson,karen.robinson@lucas.com,001-895-433-4932,"Lucas, Jenkins and Mitchell",Retail,1009887,458,Partner Referral,2024-07-07 04:20:14,2024-11-15 04:20:14,16924.52,32,6,Churned
003Jpr7Rpfn64VC68Y,Jill,Erickson,jill.erickson@cordova-barton.com,+1-990-912-8962,Cordova-Barton,Retail,14929524,427,Web,2022-06-29 17:43:56,2025-09-28 02:24:50,361421.01,6,58,Prospect
0033f4OnBaDj4lzBd0,Amanda,Logan,amanda.logan@nguyen-tanner.com,(613)652-4050x122,Nguyen-Tanner,Consulting,4245495,298,Other,2024-09-06 17:43:15,2025-01-22 17:07:21,212771.5,0,59,Prospect
003FvdsUWorx9LTt36,Matthew,Quinn,matthew.quinn@mccoy-johnson.com,+1-870-204-1815x276,Mccoy-Johnson,Consulting,762433,62,Web,2020-11-19 03:58:38,2025-02-26 16:31:17,33326.88,24,90,Active
003jggPwiBEp1SE3oo,Christian,Chavez,christian.chavez@green-holder.com,349.272.9772x0028,Green-Holder,Retail,7318372,494,Phone Inquiry,2023-09-01 02:08:31,2025-03-30 15:21:07,453521.43,37,34,Active
003ZfRiKxpjvgOV4kF,Charles,Brown,charles.brown@copeland.com,(730)966-4402,"Copeland, Blackburn and Beard",Consulting,5044852,52,Phone Inquiry,2025-03-24 22:49:32,2025-08-23 00:13:17,101247.75,18,45,Prospect
003X5pmHgO6mergq6I,Erica,Ramirez,erica.ramirez@benson-nunez.com,(374)635-3706x172,Benson-Nunez,Consulting,521925,131,Phone Inquiry,2024-09-23 08:59:21,2025-09-12 14:54:47,43545.53,23,98,Active
003b3NA9XoJAOPfbiM,Tony,Robertson,tony.robertson@ryan-farmer.com,9994312714,Ryan-Farmer,Consulting,3324510,123,Phone Inquiry,2020-11-19 21:43:35,2021-06-20 21:43:35,44887.99,44,85,Churned
003oS4hsxuNf0qTVuu,Frank,Banks,frank.banks@stephensllc.com,+1-641-865-8901,Stephens LLC,Consulting,4678964,295,Web,2022-10-02 13:42:20,2023-08-16 13:42:20,54851.04,47,24,Churned
003X2Rnqf7kiiItWX2,Stephanie,Braun,stephanie.braun@perry.com,+1-655-336-9064,"Perry, Knight and Goodman",Healthcare,18151611,460,Phone Inquiry,2024-08-04 15:37:16,2024-08-30 10:04:39,514984.12,1,43,Active
003cy1bTL8JSczYk7l,Christopher,Hughes,christopher.hughes@johnson.com,7622839233,"Johnson, Smith and Rosario",Technology,35559541,1092,Partner Referral,2021-02-04 20:54:44,2021-09-13 20:54:44,533428.86,27,10,Churned
003aMQt0tSCrE8VOGn,Daniel,Ayala,daniel.ayala@bennett-guzman.com,+1-693-234-3659x496,Bennett-Guzman,Manufacturing,44789270,8428,Phone Inquiry,2024-03-19 06:40:58,2025-08-04 09:45:01,4313269.8,37,32,Active
0039ZB9d5YMWtkEZWR,Anthony,Davis,anthony.davis@davis.com,787.241.1807x06332,"Davis, Escobar and Smith",Manufacturing,81328960,5588,Web,2024-06-21 07:39:08,2025-01-28 01:52:50,1453289.6,29,92,Active
003Kp9hkj9L634CiK6,Cynthia,Chavez,cynthia.chavez@washington-jones.com,536.821.9770,Washington-Jones,Retail,831693,79,Other,2022-02-23 20:10:17,2024-10-26 07:08:25,27233.37,27,63,Active
003fAr56RcARurLw4n,Mark,Silva,mark.silva@valdezllc.com,(683)567-2909,Valdez LLC,Consulting,12512094,248,Web,2022-12-28 07:34:57,2023-05-27 07:34:57,63942.78,33,74,Churned
003Q4OZ3tCRLATzGwC,Michael,Smith,michael.smith@cruz-velazquez.com,329-276-0686,Cruz-Velazquez,Healthcare,4566863,325,Purchased List,2021-04-30 03:08:19,2024-08-31 15:02:59,215322.91,25,56,Active
003dBfanfJpcGYgi9j,Anna,Cooper,anna.cooper@lowery-brooks.com,7116435904,Lowery-Brooks,Finance,32916763,3085,Web,2023-01-17 18:03:08,2025-06-19 20:14:32,1053745.38,6,56,Prospect
003zearHsObGlHbyIl,Justin,Turner,justin.turner@williams-bennett.com,688-630-4250,Williams-Bennett,Consulting,18261966,78,Partner Referral,2025-01-27 22:39:52,2025-09-27 22:38:30,1714095.07,10,9,Active
003yrrpABYwAsaTYkY,Miguel,Martinez,miguel.martinez@andrews-bryant.com,2579482043,Andrews-Bryant,Healthcare,6199498,168,Purchased List,2025-03-14 14:54:02,2025-08-28 22:23:31,486675.33,49,29,Active
003Vx5JDfDBlMzdsjz,Rebecca,Robinson,rebecca.robinson@clarkllc.com,001-939-811-1321x37650,Clark LLC,Consulting,1013255,134,Web,2024-02-15 11:19:39,2024-12-28 05:49:13,40659.4,39,57,Active
0038FOUeLxdwjE7Dme,Nathan,Holmes,nathan.holmes@ewinggroup.com,+1-289-757-1855x7953,Ewing Group,Retail,6522907,404,Other,2022-07-12 08:00:20,2023-11-25 09:58:46,169307.0,7,7,Active
003Sst8QznM9nYbgqA,Laura,Morris,laura.morris@jones.com,339.975.2461,"Jones, Contreras and Novak",Retail,10310817,447,Partner Referral,2024-10-09 03:30:14,2025-01-20 12:26:29,943648.88,9,84,Prospect
003DDrXMCeVhAegnkG,Juan,Delacruz,juan.delacruz@bassplc.com,+1-433-430-3913x3779,Bass PLC,Retail,15408798,285,Other,2021-03-06 19:54:40,2025-08-05 17:34:04,666408.14,22,41,Prospect
003JkJUilR7VMWuEUA,Kimberly,Lopez,kimberly.lopez@mendoza.com,+1-771-248-2802,"Mendoza, Turner and Daniel",Healthcare,12373243,367,Purchased List,2023-12-03 19:16:55,2024-11-12 19:16:55,134913.85,46,11,Churned
0039GLf6Bv34YSjpvb,Robert,Huffman,robert.huffman@elliottltd.com,377.730.6207x04468,Elliott Ltd,Technology,55154109,629,Other,2024-10-08 18:43:58,2025-04-19 04:08:59,1144876.87,28,25,Active
003cEcJ3AerqcTBS1b,Robert,Farmer,robert.farmer@patton-hoffman.com,401-248-5538x156,Patton-Hoffman,Technology,43312183,1424,Partner Referral,2021-06-26 01:30:45,2023-07-23 06:20:47,4166454.63,11,81,Active
003dxl2rIqKEgQfa93,Jennifer,Willis,jennifer.willis@evans.com,+1-937-605-5407x1927,"Evans, Ward and Hicks",Manufacturing,7690141,8586,Web,2022-01-08 06:40:40,2022-04-06 02:02:26,94454.1,17,56,Active
003BsU3Dzl0hkWJch2,Brenda,Weaver,brenda.weaver@roberts.com,001-213-932-3630x081,"Roberts, Weaver and Burns",Manufacturing,69050104,3946,Partner Referral,2023-02-18 01:01:03,2023-11-04 06:35:01,6824317.91,1,41,Active
003569qYEXSxLA11qK,Katie,Riley,katie.riley@foxltd.com,(323)270-1731,Fox Ltd,Technology,91000800,5347,Web,2025-09-11 13:25:45,2025-10-13 10:15:08,8205422.32,26,20,Prospect
003LE9U571aDhAmdb2,Rachel,Weaver,rachel.weaver@castroinc.com,001-404-513-2786x99298,Castro Inc,Healthcare,3773240,226,Purchased List,2025-06-30 15:42:40,2025-07-07 21:41:51,173096.72,27,32,Active
003Lt5EODNHv4gmQN0,Kimberly,Hayes,kimberly.hayes@stonegroup.com,8735028057,Stone Group,Manufacturing,60278563,3973,Other,2023-09-19 19:21:08,2024-09-23 01:55:31,2928301.76,18,68,Active
003EvXbfQaFLFINWz3,Christina,Rose,christina.rose@lawrenceandsons.com,(628)671-1060x444,Lawrence and Sons,Manufacturing,14954493,7476,Other,2022-02-08 22:39:31,2022-09-03 17:39:14,1483781.88,8,74,Active
0031tfLle9Bo5u2M5u,Michael,Edwards,michael.edwards@bailey.com,866-999-0426,"Bailey, Miller and Lowe",Manufacturing,42784766,5471,Web,2022-06-14 15:49:12,2022-10-21 15:49:12,147931.92,46,82,Churned
003zzNBots2odrCJBo,Christopher,Fischer,christopher.fischer@saunders.com,+1-466-360-7906x58438,"Saunders, Yoder and Goodwin",Technology,95131249,7386,Web,2021-03-09 03:16:39,2025-01-30 23:20:48,3500005.55,35,53,Active
003QYpbqq0tvedGlkd,Patricia,Johnson,patricia.johnson@vargas.com,+1-748-613-6197,"Vargas, Cook and Thompson",Consulting,3099799,163,Other,2023-01-24 17:11:40,2025-01-17 07:21:14,75627.49,18,30,Active
003brFLYzLskv1djhP,Kevin,Wright,kevin.wright@richards-dean.com,001-907-838-8947x280,Richards-Dean,Technology,96551421,4415,Web,2023-08-17 11:08:09,2024-10-23 09:42:30,5908542.32,48,100,Active
00383AexRQmDQmPfYK,Albert,Kelly,albert.kelly@ferrell.com,+1-789-465-9746x4045,"Ferrell, Bryan and Garcia",Consulting,5035903,397,Phone Inquiry,2022-11-08 23:04:36,2023-02-19 23:04:36,89864.26,40,61,Churned
003MykpEPIdtJUPvXK,Nichole,Orr,nichole.orr@liu-johnson.com,+1-950-541-0789x64362,Liu-Johnson,Retail,8190589,434,Phone Inquiry,2023-12-12 15:33:04,2025-02-01 07:58:42,590333.94,29,32,Active
003Jw386sztRXJE0Mg,Ann,Wiley,ann.wiley@hale.com,(721)494-2074x9115,"Hale, Johnson and Robbins",Consulting,19195312,266,Other,2024-03-29 08:07:52,2024-11-02 13:19:59,326240.65,43,35,Active
003Jr33ut6ksJXDMfN,Mark,Wood,mark.wood@millerplc.com,371-665-9850x1017,Miller PLC,Consulting,15979413,94,Web,2022-06-22 09:17:40,2022-11-01 09:17:40,149364.89,42,64,Churned
003gnl9Hda06CwvTtu,Teresa,Hall,teresa.hall@howeplc.com,730-893-6916,Howe PLC,Finance,66605186,5452,Other,2023-01-17 07:08:10,2025-09-28 08:48:53,2272857.01,49,49,Active
003ZrKfgM1v2RMR703,Joseph,Lopez,joseph.lopez@jones.com,8019171592,"Jones, Moore and Travis",Technology,98857392,9951,Phone Inquiry,2021-01-20 07:13:07,2021-09-13 07:13:07,1528440.52,38,16,Churned
003hreaYK0LKV4KleM,Dustin,Edwards,dustin.edwards@khan-preston.com,517.736.4472x3685,Khan-Preston,Healthcare,12681714,107,Purchased List,2021-10-25 16:01:16,2022-10-02 16:01:16,120784.31,45,97,Churned
003dBuq11yHMbHRxiK,Emma,James,emma.james@phillips.com,983-496-1663x5870,"Phillips, Nelson and Todd",Technology,86714410,9478,Phone Inquiry,2022-02-07 16:58:31,2022-11-13 05:12:11,5737626.22,3,46,Active
0033IgLQ1whBTpNqWR,Jason,Sandoval,jason.sandoval@thomas-martin.com,+1-592-641-9867x1829,Thomas-Martin,Healthcare,18205129,166,Partner Referral,2020-11-28 12:44:11,2022-02-08 14:15:18,1413101.24,9,40,Active
003Or4sxzT9XAl1YCU,Joshua,Caldwell,joshua.caldwell@warren-reid.com,(278)809-3650,Warren-Reid,Manufacturing,89448441,2432,Web,2023-01-17 19:01:32,2023-10-06 19:01:32,1483196.43,46,54,Churned
003hb180IkRbuks0N6,Aaron,Thompson,aaron.thompson@wallace.com,506.588.1922x542,"Wallace, Ward and Horne",Manufacturing,33587721,9652,Partner Referral,2020-12-30 20:08:19,2021-04-22 20:08:19,238949.94,37,74,Churned
003Unwa9nD4BmbeekW,Shelby,Kim,shelby.kim@rodriguezgroup.com,447.715.2621x70835,Rodriguez Group,Finance,77590155,2389,Other,2021-08-17 21:42:25,2021-12-26 21:42:25,311880.59,31,81,Churned
003aaMRBaomRgGokbI,Chelsea,Anderson,chelsea.anderson@gill.com,260.630.2078x771,"Gill, Davis and Gonzales",Healthcare,9709524,379,Purchased List,2021-09-19 07:16:46,2022-08-15 07:16:46,173130.9,38,34,Churned
003hjKV1SOZT63hERv,Crystal,Smith,crystal.smith@watts-carter.com,+1-855-742-2668x561,Watts-Carter,Consulting,4660139,281,Web,2023-10-08 09:31:42,2025-01-22 22:10:06,281248.65,12,77,Prospect
003scyUeLjPNOEOwCG,Amanda,Schaefer,amanda.schaefer@jones-thompson.com,(623)954-0171x97742,Jones-Thompson,Consulting,18890305,346,Partner Referral,2025-09-20 10:12:45,2025-10-13 12:29:06,1863926.36,34,99,Prospect
003p2MEWksUuPfsP33,Hannah,Martinez,hannah.martinez@salas.com,819.241.8334,"Salas, Mueller and Flowers",Technology,12078791,9668,Phone Inquiry,2021-11-14 08:42:50,2025-04-22 23:50:46,273527.29,16,17,Active
003246EZ2QnAIYWasX,Marc,Adams,marc.adams@mcdonald-henson.com,+1-712-989-5352x63627,Mcdonald-Henson,Healthcare,17805974,421,Phone Inquiry,2024-11-18 02:00:02,2025-05-16 20:34:26,714869.02,25,16,Active
003wVW6V68ofc4zf8u,Lance,Green,lance.green@wilson-mckinney.com,001-460-429-1360,Wilson-Mckinney,Finance,52384156,7556,Web,2025-08-09 16:49:05,2025-09-03 14:46:10,3995712.14,41,73,Prospect
003fLEdBnfMieEZ6E5,Rita,Lee,rita.lee@shaffer-werner.com,760.276.6141x88458,Shaffer-Werner,Manufacturing,76370896,6707,Web,2025-02-19 02:48:05,2025-02-22 05:14:58,7318514.15,19,35,Prospect
003EWWgpCeJWGmgsOc,Jesse,Pope,jesse.pope@youngltd.com,+1-351-716-6047x3496,Young Ltd,Manufacturing,55301279,4718,Partner Referral,2024-11-29 03:41:22,2025-04-30 06:23:42,2426880.98,40,82,Active
0034MQcTDt32EKkVRI,Kenneth,Allen,kenneth.allen@rodriguez-sanders.com,001-301-658-2414x7654,Rodriguez-Sanders,Manufacturing,27357781,6874,Purchased List,2025-05-31 20:05:43,2025-09-07 14:27:40,1341347.1,20,45,Prospect
003Aaa9dZRXrcTUaZC,Victoria,Lewis,victoria.lewis@martin-moore.com,982-762-8064,Martin-Moore,Finance,80709907,5711,Phone Inquiry,2021-12-14 21:24:09,2025-09-24 00:55:59,5956505.61,1,63,Prospect
003s1DrxVNvBlXe1eb,Lauren,Mcmillan,lauren.mcmillan@davis-perry.com,(771)546-3650x948,Davis-Perry,Consulting,2241152,163,Partner Referral,2023-12-09 15:18:39,2024-09-19 06:10:27,111646.28,15,86,Active
003L61r9zwdgV2XgPs,Andrea,Richardson,andrea.richardson@jones.com,001-383-627-8705,"Jones, Suarez and Mccall",Consulting,14564807,238,Phone Inquiry,2023-05-05 04:25:26,2025-09-25 15:17:19,438284.93,49,36,Active
